destination_id,name,category,province,price,google_rating,latitude,longitude,description
13,"Monumen Nasional (Monas)",Sejarah,"DKI Jakarta",15000.00,4.6,-6.175392,106.827153,"Tugu peringatan setinggi 132 meter lambang kemerdekaan Republik Indonesia dengan museum sejarah nasional dan dek observasi kota metropolitan."
14,"Taman Nasional Bunaken",Bahari,"Sulawesi Utara",50000.00,4.7,1.621389,124.764444,"Surga bawah laut dengan keanekaragaman biota laut tertinggi, terumbu karang vertikal spektakuler, dan spot diving kelas internasional."
15,"Pantai Tanjung Tinggi",Alam,"Kepulauan Bangka Belitung",20000.00,4,-2.5517187,107.7137724,"Pantai berpasir putih halus dengan susunan batu granit purba berukuran raksasa dan air laut tenang sebening kaca khas film Laskar Pelangi."
16,"Pantai Panjang",Alam,Bengkulu,0.00,4.8,-3.8085034,102.262839,"Destinasi wisata Pantai Panjang berlokasi di provinsi Bengkulu, menyajikan pesona kategori Wisata Alam."
17,Karimunjawa,"Taman Hiburan","Jawa Tengah",50000.00,4.3,-5.829644,110.4526211,"Destinasi wisata Karimunjawa berlokasi di provinsi Jawa Tengah, menyajikan pesona kategori Taman Hiburan."
18,"Pulau Kembang","Taman Hiburan","Kalimantan Selatan",100000.00,4.4,-3.3166666,114.5333333,"Destinasi wisata Pulau Kembang berlokasi di provinsi Kalimantan Selatan, menyajikan pesona kategori Taman Hiburan."
19,"Pantai Nambo",Budaya,"Sulawesi Tenggara",100000.00,3.6,-4.0014535,122.6166158,"Destinasi wisata Pantai Nambo berlokasi di provinsi Sulawesi Tenggara, menyajikan pesona kategori Wisata Budaya."
20,"Pulau Cinta",Bahari,Gorontalo,25000.00,3.8,0.4709958,122.2986804,"Destinasi wisata Pulau Cinta berlokasi di provinsi Gorontalo, menyajikan pesona kategori Wisata Bahari."
21,"Gunung Rinjani",Bahari,"Nusa Tenggara Barat",10000.00,4.4,-8.411295,116.4573488,"Destinasi wisata Gunung Rinjani berlokasi di provinsi Nusa Tenggara Barat, menyajikan pesona kategori Wisata Bahari."
22,"Pantai Natsepa",Alam,Maluku,5000.00,4.6,-3.6215464,128.2921198,"Destinasi wisata Pantai Natsepa berlokasi di provinsi Maluku, menyajikan pesona kategori Wisata Alam."
23,"Danau Laut Tawar","Taman Hiburan",Aceh,25000.00,3.8,4.6119439,96.923611,"Destinasi wisata Danau Laut Tawar berlokasi di provinsi Aceh, menyajikan pesona kategori Taman Hiburan."
24,"Air Terjun Sipiso-piso",Sejarah,"Sumatera Utara",15000.00,4.6,2.9164873,98.5195038,"Destinasi wisata Air Terjun Sipiso-piso berlokasi di provinsi Sumatera Utara, menyajikan pesona kategori Wisata Sejarah."
25,"Goa Pindul","Taman Hiburan","DI Yogyakarta",100000.00,4.1,-7.9293354,110.6478407,"Destinasi wisata Goa Pindul berlokasi di provinsi DI Yogyakarta, menyajikan pesona kategori Taman Hiburan."
26,"Pantai Anyer",Bahari,Banten,50000.00,4.2,-6.088192,105.8837856,"Destinasi wisata Pantai Anyer berlokasi di provinsi Banten, menyajikan pesona kategori Wisata Bahari."
27,"Pantai Malalayang",Sejarah,"Sulawesi Utara",20000.00,3.8,1.4603363,124.7923249,"Destinasi wisata Pantai Malalayang berlokasi di provinsi Sulawesi Utara, menyajikan pesona kategori Wisata Sejarah."
28,"Pantai Manakarra",Alam,"Sulawesi Barat",10000.00,4,-2.6707339,118.8893381,"Destinasi wisata Pantai Manakarra berlokasi di provinsi Sulawesi Barat, menyajikan pesona kategori Wisata Alam."
29,"Rafflesia Arnoldii Habitat",Sejarah,Bengkulu,75000.00,3.6,-4.0893368,102.7512555,"Destinasi wisata Rafflesia Arnoldii Habitat berlokasi di provinsi Bengkulu, menyajikan pesona kategori Wisata Sejarah."
30,"Danau Paniai",Sejarah,"Papua Tengah",100000.00,4.5,-3.9083333,136.3333335,"Destinasi wisata Danau Paniai berlokasi di provinsi Papua Tengah, menyajikan pesona kategori Wisata Alam."
31,"Danau Habema",Bahari,"Papua Pegunungan",20000.00,3.5,-4.1388286,138.7100761,"Destinasi wisata Danau Habema berlokasi di provinsi Papua Pegunungan, menyajikan pesona kategori Wisata Bahari."
32,"Raja Ampat",Alam,"Papua Barat Daya",20000.00,4.8,-0.5874,130.3201959,"Destinasi wisata Raja Ampat berlokasi di provinsi Papua Barat Daya, menyajikan pesona kategori Wisata Alam."
33,"Teluk Kabui",Sejarah,"Papua Barat Daya",5000.00,4.6,-8.0045535,110.2703756,"Destinasi wisata Teluk Kabui berlokasi di provinsi Papua Barat Daya, menyajikan pesona kategori Wisata Sejarah."
34,"Pulau Samosir",Bahari,"Sumatera Utara",0.00,4.1,2.5938902,98.8381017,"Destinasi wisata Pulau Samosir berlokasi di provinsi Sumatera Utara, menyajikan pesona kategori Wisata Bahari."
35,"HeHa Sky View",Sejarah,"DI Yogyakarta",50000.00,4.8,-7.8496297,110.4779383,"Destinasi wisata HeHa Sky View berlokasi di provinsi DI Yogyakarta, menyajikan pesona kategori Wisata Sejarah."
36,"Pantai Kuta",Alam,Bali,20000.00,3.8,-8.7263239,115.171533,"Destinasi wisata Pantai Kuta berlokasi di provinsi Bali, menyajikan pesona kategori Wisata Alam."
37,"Bukit Bangkirai",Sejarah,"Kalimantan Timur",25000.00,4.7,-1.0253276,116.8651524,"Destinasi wisata Bukit Bangkirai berlokasi di provinsi Kalimantan Timur, menyajikan pesona kategori Wisata Sejarah."
38,"Tana Toraja",Bahari,"Sulawesi Selatan",20000.00,3.6,-3.056902,119.707132,"Destinasi wisata Tana Toraja berlokasi di provinsi Sulawesi Selatan, menyajikan pesona kategori Wisata Bahari."
39,"Pantai Sulamadaha",Sejarah,"Maluku Utara",20000.00,4.5,0.8626738,127.3359035,"Destinasi wisata Pantai Sulamadaha berlokasi di provinsi Maluku Utara, menyajikan pesona kategori Wisata Sejarah."
40,"Pantai Pasir Timbul",Sejarah,"Papua Barat",5000.00,4.7,-0.5514483,130.6826946,"Destinasi wisata Pantai Pasir Timbul berlokasi di provinsi Papua Barat, menyajikan pesona kategori Wisata Sejarah."
41,"Pantai Lampu Satu",Bahari,"Papua Selatan",5000.00,4.5,-8.5116008,140.379852,"Destinasi wisata Pantai Lampu Satu berlokasi di provinsi Papua Selatan, menyajikan pesona kategori Wisata Bahari."
42,"Taman Nasional Gunung Palung",Alam,"Kalimantan Barat",50000.00,4.7,-1.2342949,110.0753555,"Destinasi wisata Taman Nasional Gunung Palung berlokasi di provinsi Kalimantan Barat, menyajikan pesona kategori Wisata Alam."
43,"Benteng Keraton Buton","Taman Hiburan","Sulawesi Tenggara",5000.00,4,-5.4747142,122.6022575,"Destinasi wisata Benteng Keraton Buton berlokasi di provinsi Sulawesi Tenggara, menyajikan pesona kategori Taman Hiburan."
44,"Pegunungan Arfak","Taman Hiburan","Papua Barat",75000.00,4.7,-1.1886216,133.720846,"Destinasi wisata Pegunungan Arfak berlokasi di provinsi Papua Barat, menyajikan pesona kategori Taman Hiburan."
45,"Jembatan Ampera",Alam,"Sumatera Selatan",20000.00,4.8,-2.9920246,104.763715,"Destinasi wisata Jembatan Ampera berlokasi di provinsi Sumatera Selatan, menyajikan pesona kategori Wisata Alam."
46,"Pulau Kemaro",Sejarah,"Sumatera Selatan",0.00,3.7,-2.9786111,104.8175,"Destinasi wisata Pulau Kemaro berlokasi di provinsi Sumatera Selatan, menyajikan pesona kategori Wisata Sejarah."
47,"Pantai Matras",Budaya,"Kepulauan Bangka Belitung",0.00,4.2,-1.7992415,106.116369,"Destinasi wisata Pantai Matras berlokasi di provinsi Kepulauan Bangka Belitung, menyajikan pesona kategori Wisata Budaya."
48,"Gili Air","Taman Hiburan","Nusa Tenggara Barat",25000.00,3.7,-8.3575782,116.0812323,"Destinasi wisata Gili Air berlokasi di provinsi Nusa Tenggara Barat, menyajikan pesona kategori Taman Hiburan."
49,"Labuan Bajo",Sejarah,"Nusa Tenggara Timur",5000.00,3.9,-8.4493941,119.8642274,"Destinasi wisata Labuan Bajo berlokasi di provinsi Nusa Tenggara Timur, menyajikan pesona kategori Wisata Sejarah."
50,"Taman Laut Olele",Sejarah,Gorontalo,100000.00,4.1,-7.8136085,110.5033442,"Destinasi wisata Taman Laut Olele berlokasi di provinsi Gorontalo, menyajikan pesona kategori Wisata Sejarah."
51,"Danau Ranau",Bahari,"Sumatera Selatan",5000.00,3.8,-4.8807633,103.9389831,"Destinasi wisata Danau Ranau berlokasi di provinsi Sumatera Selatan, menyajikan pesona kategori Wisata Bahari."
52,"Bukit Siguntang","Taman Hiburan","Sumatera Selatan",5000.00,4.7,-2.9950145,104.7261437,"Destinasi wisata Bukit Siguntang berlokasi di provinsi Sumatera Selatan, menyajikan pesona kategori Taman Hiburan."
53,"Pantai Parai Tenggiri",Bahari,"Kepulauan Bangka Belitung",50000.00,4.1,-1.8043515,106.1284172,"Destinasi wisata Pantai Parai Tenggiri berlokasi di provinsi Kepulauan Bangka Belitung, menyajikan pesona kategori Wisata Bahari."
54,"Danau Kaolin","Taman Hiburan","Kepulauan Bangka Belitung",0.00,3.9,-2.6892438,107.0692377,"Destinasi wisata Danau Kaolin berlokasi di provinsi Kepulauan Bangka Belitung, menyajikan pesona kategori Taman Hiburan."
55,"Rumah Betang",Sejarah,"Kalimantan Tengah",15000.00,4.3,-1.6414841,113.6232312,"Destinasi wisata Rumah Betang berlokasi di provinsi Kalimantan Tengah, menyajikan pesona kategori Wisata Sejarah."
56,"Pulau Mansinam",Bahari,"Papua Barat",5000.00,4.8,-0.9141667,134.1083333,"Destinasi wisata Pulau Mansinam berlokasi di provinsi Papua Barat, menyajikan pesona kategori Wisata Bahari."
57,"Kepulauan Togean",Alam,"Sulawesi Tengah",25000.00,4.8,-0.3994782,122.014694,"Destinasi wisata Kepulauan Togean berlokasi di provinsi Sulawesi Tengah, menyajikan pesona kategori Wisata Alam."
58,"Air Terjun Moramo",Sejarah,"Sulawesi Tenggara",15000.00,4.3,-4.2235506,122.7403623,"Destinasi wisata Air Terjun Moramo berlokasi di provinsi Sulawesi Tenggara, menyajikan pesona kategori Wisata Sejarah."
59,"Benteng Otanaha","Taman Hiburan",Gorontalo,20000.00,3.6,0.5487602,123.0082085,"Destinasi wisata Benteng Otanaha berlokasi di provinsi Gorontalo, menyajikan pesona kategori Taman Hiburan."
60,"Lembah Ilaga",Sejarah,"Papua Tengah",100000.00,3.6,-4.032068,137.5308955,"Destinasi wisata Lembah Ilaga berlokasi di provinsi Papua Tengah, menyajikan pesona kategori Wisata Sejarah."
61,"Pulau Weh",Alam,Aceh,5000.00,4.6,5.8395145,95.2962419,"Destinasi wisata Pulau Weh berlokasi di provinsi Aceh, menyajikan pesona kategori Wisata Alam."
62,"Sebangau National Park",Budaya,"Kalimantan Tengah",10000.00,3.9,-2.5973765,113.6737776,"Destinasi wisata Sebangau National Park berlokasi di provinsi Kalimantan Tengah, menyajikan pesona kategori Wisata Budaya."
63,"Dieng Plateau",Bahari,"Jawa Tengah",20000.00,4.4,-7.2153199,109.8991039,"Destinasi wisata Dieng Plateau berlokasi di provinsi Jawa Tengah, menyajikan pesona kategori Wisata Bahari."
64,"Derawan Islands",Alam,"Kalimantan Timur",10000.00,4.3,2.2841235,118.2435287,"Destinasi wisata Derawan Islands berlokasi di provinsi Kalimantan Timur, menyajikan pesona kategori Wisata Alam."
65,"Istana Siak Sri Indrapura",Bahari,Riau,25000.00,4.3,0.7948337,102.0489721,"Destinasi wisata Istana Siak Sri Indrapura berlokasi di provinsi Riau, menyajikan pesona kategori Wisata Bahari."
66,"Pantai Pasir Panjang","Taman Hiburan","Kalimantan Barat",75000.00,4.5,0.8472356,108.8796154,"Destinasi wisata Pantai Pasir Panjang berlokasi di provinsi Kalimantan Barat, menyajikan pesona kategori Taman Hiburan."
67,"Teluk Triton",Budaya,"Papua Barat",5000.00,4.4,-3.8235359,133.9928543,"Destinasi wisata Teluk Triton berlokasi di provinsi Papua Barat, menyajikan pesona kategori Wisata Budaya."
68,"Museum Tsunami Aceh",Budaya,Aceh,20000.00,4.2,5.547842,95.3151787,"Destinasi wisata Museum Tsunami Aceh berlokasi di provinsi Aceh, menyajikan pesona kategori Wisata Budaya."
69,"Air Terjun Telun Berasap","Taman Hiburan",Jambi,75000.00,3.7,-1.6882568,101.3393143,"Destinasi wisata Air Terjun Telun Berasap berlokasi di provinsi Jambi, menyajikan pesona kategori Taman Hiburan."
70,"Pulau Padar",Bahari,"Nusa Tenggara Timur",15000.00,4.1,-8.6626996,119.5557377,"Destinasi wisata Pulau Padar berlokasi di provinsi Nusa Tenggara Timur, menyajikan pesona kategori Wisata Bahari."
71,"Taman Nasional Tanjung Puting",Alam,"Kalimantan Tengah",5000.00,4.7,-3.0703423,111.9425817,"Destinasi wisata Taman Nasional Tanjung Puting berlokasi di provinsi Kalimantan Tengah, menyajikan pesona kategori Wisata Alam."
72,"Maratua Island",Budaya,"Kalimantan Timur",25000.00,4.8,2.1263243,118.6679575,"Destinasi wisata Maratua Island berlokasi di provinsi Kalimantan Timur, menyajikan pesona kategori Wisata Budaya."
73,"Banda Neira",Budaya,Maluku,15000.00,4.3,-4.5189167,129.90406,"Destinasi wisata Banda Neira berlokasi di provinsi Maluku, menyajikan pesona kategori Wisata Budaya."
74,"Istana Maimun",Budaya,"Sumatera Utara",20000.00,4.3,3.5751606,98.6845138,"Destinasi wisata Istana Maimun berlokasi di provinsi Sumatera Utara, menyajikan pesona kategori Wisata Budaya."
75,"Candi Muaro Jambi",Alam,Jambi,50000.00,3.5,-1.4795711,103.6559477,"Destinasi wisata Candi Muaro Jambi berlokasi di provinsi Jambi, menyajikan pesona kategori Wisata Alam."
76,"Tegallalang Rice Terrace",Sejarah,Bali,25000.00,4.8,-8.4317112,115.279303,"Destinasi wisata Tegallalang Rice Terrace berlokasi di provinsi Bali, menyajikan pesona kategori Wisata Sejarah."
77,"Pulau Labengki",Bahari,"Sulawesi Tenggara",50000.00,3.8,-3.4508329,122.432604,"Destinasi wisata Pulau Labengki berlokasi di provinsi Sulawesi Tenggara, menyajikan pesona kategori Wisata Bahari."
78,"Danau Sentarum",Bahari,"Kalimantan Barat",20000.00,4.7,0.8405226,112.1172273,"Destinasi wisata Danau Sentarum berlokasi di provinsi Kalimantan Barat, menyajikan pesona kategori Wisata Bahari."
79,"Kepulauan Selayar",Sejarah,"Sulawesi Selatan",100000.00,3.8,-6.6271509,121.054868,"Destinasi wisata Kepulauan Selayar berlokasi di provinsi Sulawesi Selatan, menyajikan pesona kategori Wisata Sejarah."
80,"Samarinda Islamic Center","Taman Hiburan","Kalimantan Timur",50000.00,4.7,-0.5025423,117.120568,"Destinasi wisata Samarinda Islamic Center berlokasi di provinsi Kalimantan Timur, menyajikan pesona kategori Taman Hiburan."
81,"Danau Sentani",Alam,Papua,25000.00,3.9,-2.6261342,140.5087473,"Destinasi wisata Danau Sentani berlokasi di provinsi Papua, menyajikan pesona kategori Wisata Alam."
82,"Pulau Misool","Taman Hiburan","Papua Barat Daya",20000.00,3.6,-1.894722,130.083611,"Destinasi wisata Pulau Misool berlokasi di provinsi Papua Barat Daya, menyajikan pesona kategori Taman Hiburan."
83,"Pantai Olele",Alam,Gorontalo,75000.00,3.6,0.4100429,123.1525524,"Destinasi wisata Pantai Olele berlokasi di provinsi Gorontalo, menyajikan pesona kategori Wisata Alam."
84,"Air Terjun Indo Rannuang",Bahari,"Sulawesi Barat",20000.00,4.9,-3.3511631,119.3967559,"Destinasi wisata Air Terjun Indo Rannuang berlokasi di provinsi Sulawesi Barat, menyajikan pesona kategori Wisata Bahari."
85,"Keraton Kadriah",Budaya,"Kalimantan Barat",25000.00,4.9,-0.0287892,109.3498511,"Destinasi wisata Keraton Kadriah berlokasi di provinsi Kalimantan Barat, menyajikan pesona kategori Wisata Budaya."
86,"Lawang Sewu",Sejarah,"Jawa Tengah",0.00,4.8,-6.9840151,110.4107261,"Destinasi wisata Lawang Sewu berlokasi di provinsi Jawa Tengah, menyajikan pesona kategori Wisata Sejarah."
87,"Keraton Yogyakarta",Bahari,"DI Yogyakarta",15000.00,4.5,-7.8091125,110.3625054,"Destinasi wisata Keraton Yogyakarta berlokasi di provinsi DI Yogyakarta, menyajikan pesona kategori Wisata Bahari."
88,"Pantai Amal",Bahari,"Kalimantan Utara",15000.00,4.5,3.3127245,117.6507191,"Destinasi wisata Pantai Amal berlokasi di provinsi Kalimantan Utara, menyajikan pesona kategori Wisata Bahari."
89,"Kota Tua Jakarta","Taman Hiburan","DKI Jakarta",0.00,4.7,-6.1311221,106.8397586,"Destinasi wisata Kota Tua Jakarta berlokasi di provinsi DKI Jakarta, menyajikan pesona kategori Taman Hiburan."
90,"Pulau Sangiang",Budaya,Banten,5000.00,4.8,25.0853364,121.5615457,"Destinasi wisata Pulau Sangiang berlokasi di provinsi Banten, menyajikan pesona kategori Wisata Budaya."
91,"Jembatan Barelang",Sejarah,"Kepulauan Riau",25000.00,4.8,0.8506412,104.1266279,"Destinasi wisata Jembatan Barelang berlokasi di provinsi Kepulauan Riau, menyajikan pesona kategori Wisata Sejarah."
92,"Pulau Sebatik","Taman Hiburan","Kalimantan Utara",75000.00,3.7,4.1513666,117.7689039,"Destinasi wisata Pulau Sebatik berlokasi di provinsi Kalimantan Utara, menyajikan pesona kategori Taman Hiburan."
93,"Danau Toba",Alam,"Sumatera Utara",0.00,4.6,2.610761,98.8359673,"Destinasi wisata Danau Toba berlokasi di provinsi Sumatera Utara, menyajikan pesona kategori Wisata Alam."
94,"Taman Mini Indonesia Indah",Alam,"DKI Jakarta",75000.00,4.7,-6.3026341,106.8952962,"Destinasi wisata Taman Mini Indonesia Indah berlokasi di provinsi DKI Jakarta, menyajikan pesona kategori Wisata Alam."
95,"Lembah Baliem",Budaya,"Papua Pegunungan",10000.00,3.6,-4.6484787,138.8571252,"Destinasi wisata Lembah Baliem berlokasi di provinsi Papua Pegunungan, menyajikan pesona kategori Wisata Alam."
96,"Air Terjun Tiu Kelep",Sejarah,"Nusa Tenggara Barat",75000.00,4.9,-8.3127425,116.4041109,"Destinasi wisata Air Terjun Tiu Kelep berlokasi di provinsi Nusa Tenggara Barat, menyajikan pesona kategori Wisata Sejarah."
97,"Pantai Kuta Mandalika",Budaya,"Nusa Tenggara Barat",20000.00,3.7,-8.8947516,116.2831703,"Destinasi wisata Pantai Kuta Mandalika berlokasi di provinsi Nusa Tenggara Barat, menyajikan pesona kategori Wisata Budaya."
98,"Pegunungan Jayawijaya",Sejarah,"Papua Pegunungan",75000.00,4.5,-4.3499999,139.416667,"Destinasi wisata Pegunungan Jayawijaya berlokasi di provinsi Papua Pegunungan, menyajikan pesona kategori Wisata Sejarah."
99,"Jam Gadang",Alam,"Sumatera Barat",5000.00,4,-0.3051587,100.3695201,"Destinasi wisata Jam Gadang berlokasi di provinsi Sumatera Barat, menyajikan pesona kategori Wisata Alam."
100,"Taman Nasional Tesso Nilo","Taman Hiburan",Riau,15000.00,4.4,-0.0758334,101.6230565,"Destinasi wisata Taman Nasional Tesso Nilo berlokasi di provinsi Riau, menyajikan pesona kategori Taman Hiburan."
101,"Green Canyon","Taman Hiburan","Jawa Barat",5000.00,3.6,-7.7350372,108.456452,"Destinasi wisata Green Canyon berlokasi di provinsi Jawa Barat, menyajikan pesona kategori Taman Hiburan."
102,"Masjid Agung Banten",Sejarah,Banten,100000.00,4.8,-6.0360236,106.1540182,"Destinasi wisata Masjid Agung Banten berlokasi di provinsi Banten, menyajikan pesona kategori Wisata Sejarah."
103,"Pulau Wayag",Bahari,"Papua Barat Daya",5000.00,4.4,0.1682975,130.0348345,"Destinasi wisata Pulau Wayag berlokasi di provinsi Papua Barat Daya, menyajikan pesona kategori Wisata Bahari."
104,"Lore Lindu National Park",Budaya,"Sulawesi Tengah",25000.00,4.3,-1.4749503,120.1889421,"Destinasi wisata Lore Lindu National Park berlokasi di provinsi Sulawesi Tengah, menyajikan pesona kategori Wisata Budaya."
105,"Taman Nasional Gunung Leuser",Sejarah,Aceh,10000.00,3.9,3.6057205,97.5609053,"Destinasi wisata Taman Nasional Gunung Leuser berlokasi di provinsi Aceh, menyajikan pesona kategori Wisata Sejarah."
106,"Pantai Pink","Taman Hiburan","Nusa Tenggara Timur",10000.00,4.2,-8.6013776,119.5197485,"Destinasi wisata Pantai Pink berlokasi di provinsi Nusa Tenggara Timur, menyajikan pesona kategori Taman Hiburan."
107,"Pantai Losari",Alam,"Sulawesi Selatan",0.00,4.3,-5.1436808,119.4076566,"Destinasi wisata Pantai Losari berlokasi di provinsi Sulawesi Selatan, menyajikan pesona kategori Wisata Alam."
108,"Taman Nasional Lorentz",Budaya,Papua,25000.00,4.4,-4.6297633,137.9726829,"Destinasi wisata Taman Nasional Lorentz berlokasi di provinsi Papua, menyajikan pesona kategori Wisata Bahari."
109,"Pulau Lengkuas",Sejarah,"Kepulauan Bangka Belitung",100000.00,4.4,-2.5333333,107.6022636,"Destinasi wisata Pulau Lengkuas berlokasi di provinsi Kepulauan Bangka Belitung, menyajikan pesona kategori Wisata Sejarah."
110,"Wakatobi National Park",Alam,"Sulawesi Tenggara",15000.00,4.5,-5.5634736,123.9304254,"Destinasi wisata Wakatobi National Park berlokasi di provinsi Sulawesi Tenggara, menyajikan pesona kategori Wisata Alam."
111,"Pantai Ora","Taman Hiburan",Maluku,100000.00,4.7,-2.9598945,129.1392275,"Destinasi wisata Pantai Ora berlokasi di provinsi Maluku, menyajikan pesona kategori Taman Hiburan."
112,"Danau Tolire",Bahari,"Maluku Utara",20000.00,4.8,0.8361371,127.3074872,"Destinasi wisata Danau Tolire berlokasi di provinsi Maluku Utara, menyajikan pesona kategori Wisata Bahari."
113,"Festival Lembah Baliem","Taman Hiburan","Papua Pegunungan",0.00,4.8,-4.1252836,138.9162099,"Destinasi wisata Festival Lembah Baliem berlokasi di provinsi Papua Pegunungan, menyajikan pesona kategori Taman Hiburan."
114,"Taman Nasional Ujung Kulon",Alam,Banten,10000.00,4.9,-6.7846944,105.3751088,"Destinasi wisata Taman Nasional Ujung Kulon berlokasi di provinsi Banten, menyajikan pesona kategori Wisata Alam."
115,"Benteng Marlborough",Bahari,Bengkulu,15000.00,4.1,-3.787323,102.2516757,"Destinasi wisata Benteng Marlborough berlokasi di provinsi Bengkulu, menyajikan pesona kategori Wisata Bahari."
116,"Monumen Nasional",Budaya,"DKI Jakarta",75000.00,4.8,-6.1754024,106.8271692,"Destinasi wisata Monumen Nasional berlokasi di provinsi DKI Jakarta, menyajikan pesona kategori Wisata Budaya."
117,"Pantai Sawarna","Taman Hiburan",Banten,15000.00,4.2,-6.9650815,106.3007104,"Destinasi wisata Pantai Sawarna berlokasi di provinsi Banten, menyajikan pesona kategori Taman Hiburan."
118,"Danau Tahai","Taman Hiburan","Kalimantan Tengah",100000.00,4.6,-2.026579,113.7871831,"Destinasi wisata Danau Tahai berlokasi di provinsi Kalimantan Tengah, menyajikan pesona kategori Taman Hiburan."
119,"Pulau Kadidiri",Sejarah,"Sulawesi Tengah",0.00,4.6,-0.3591667,121.8466667,"Destinasi wisata Pulau Kadidiri berlokasi di provinsi Sulawesi Tengah, menyajikan pesona kategori Wisata Sejarah."
120,"Bukit Raya",Bahari,"Kalimantan Tengah",0.00,4.9,-0.8899029,112.21952,"Destinasi wisata Bukit Raya berlokasi di provinsi Kalimantan Tengah, menyajikan pesona kategori Wisata Bahari."
121,"Pulau Morotai",Alam,"Maluku Utara",0.00,3.7,2.303793,128.409527,"Destinasi wisata Pulau Morotai berlokasi di provinsi Maluku Utara, menyajikan pesona kategori Wisata Alam."
122,"Pulau Penyengat",Bahari,"Kepulauan Riau",5000.00,3.6,0.927778,104.4175,"Destinasi wisata Pulau Penyengat berlokasi di provinsi Kepulauan Riau, menyajikan pesona kategori Wisata Bahari."
123,"Danau Poso",Bahari,"Sulawesi Tengah",100000.00,4.4,-1.9216135,120.6167479,"Destinasi wisata Danau Poso berlokasi di provinsi Sulawesi Tengah, menyajikan pesona kategori Wisata Bahari."
124,"Danau Maninjau",Budaya,"Sumatera Barat",20000.00,3.5,-0.328318,100.1878581,"Destinasi wisata Danau Maninjau berlokasi di provinsi Sumatera Barat, menyajikan pesona kategori Wisata Budaya."
125,Bantimurung,Budaya,"Sulawesi Selatan",25000.00,4.4,-4.973125,119.6750141,"Destinasi wisata Bantimurung berlokasi di provinsi Sulawesi Selatan, menyajikan pesona kategori Wisata Budaya."
126,"Masjid Raya Baiturrahman",Bahari,Aceh,100000.00,4.9,5.5532604,95.3178867,"Destinasi wisata Masjid Raya Baiturrahman berlokasi di provinsi Aceh, menyajikan pesona kategori Wisata Bahari."
127,"Bukit Lawang","Taman Hiburan","Sumatera Utara",50000.00,3.6,3.556369,98.139463,"Destinasi wisata Bukit Lawang berlokasi di provinsi Sumatera Utara, menyajikan pesona kategori Taman Hiburan."
128,"Nusa Penida","Taman Hiburan",Bali,50000.00,3.7,-8.745573,115.5376405,"Destinasi wisata Nusa Penida berlokasi di provinsi Bali, menyajikan pesona kategori Taman Hiburan."
